_,ar,az,bn,de,en,es,fa,fi,fr,hi,in,it,ms,nl,no,pl,pt,ru,si,sw,th,tr,ur,vi,zh
StarRewarded,"جائزة اللاعب صاحب النجمة","ULDUZ OYUNÇU MÜKAFATI","তারকা খেলোয়াড়ের পুরস্কার","STAR SPIELER BELOHNUNG","STAR PLAYER REWARD","ESTRELLA RECOMPENSA DEL JUGADOR","جایزه بازیکن را آغاز کنید","TÄHTIPELAAJAN PALKINTO","RÉCOMPENSE D'UN JOUEUR ÉTOILE","स्टार प्लेयर रिवॉर्ड","HADIAH PEMAIN BINTANG","PREMIO QUALE GIOCATORE DI PRIMA GRANDEZZA (STAR PLAYER)","GANJARAN PEMAIN HEBAT",STERSPELER-AWARD,,,"PRÉMIO DO JOGADOR ESTRELA","НАГРАДА ЛУЧШЕМУ ИГРОКУ","tharu kreedaka thyaagaya",,รางวัลผู้เล่นดาวเด่น,"YILDIZ OYUNCU ÖDÜLÜ","مشہور کھلاڑی کا انعام","PHẦN THƯỞNG CHO NGƯỜI CHƠI XUẤT SẮC",
Start,إبدأ,Başla,"শুরু করো",Starten,Start,iniciar,شروع,Aloita,Démarrez,प्रारंभ,Mulai,Inizio,Mula,Start,,,Iniciar,Старт,arabanna,,เริ่ม,Başla,شروع,"Bắt đầu",
StartChapterAgain,"ابدأ الفصل مرّة أخرى","Fəsilə yenidən başla","অধ্যায় আবার নতুন করে শুরু করো","Starten Sie das Kapitel erneut","Start the Chapter Again","Inicia el capítulo de nuevo","این بخش را دوباره شروع کنید","Aloita luku alusta","Commencez le chapitre de nouveau","चैप्टर फिर से शुरू करें","Mulai Bab Ini Kembali","Avvia il nuovo capitolo","Mulakan bab ini sekali lagi","Opnieuw beginnen met het hoofdstuk",,,"Iniciar o Capítulo de novo","Начтите Главу Снова","parichcheedaya nawatha arabanna",,เริ่มบทเรียนอีกครั้ง,"Bölümü Tekrar Başlat","باب کو دوبارہ شروع کریں","Bắt đầu Chương này một lần nữa",
Start_Course,"ابدأ المادة","Kursa başla","কোর্সটি শুরু করুন","Starten Sie den Kurs","Start the Course","Inicia el Curso","درس را آغاز کنید","Aloita kurssi","commencer le cours","कोर्स शुरू करें","Mulai Kursus","Inizia il corso","Mulakan Kursus","Start de cursus",,,"Começar o Curso","Начать курс",,,เริ่มหลักสูตร,"Kursa Başla","کورس کا آغاز کریں","Bắt đầu Khóa học",
Start_Loading,"ابدأ التنزيل","Yükləməyə başla","লোডিং শুরু","Wird geladen","Start Loading","Empezando a descargar","شروع بارگذاری","Aloita lataus","Démarrer le chargement","लोडिंग शुरू करें","Mulai Memuat","Iniziare il caricamento","Sedang memuatnaik","Start laden",,,"Começar a carregar","Начать Загрузку",,,เริ่มการโหลด,"Yüklemeye Başla","لوڈنگ کا آغاز","Bắt đầu Tải",
Step,خطوة,Addım,ধাপ,Schritt,Step,paso,قدم,Vaihe,Étape,चरण,Langkah,Passo,Langkah,Stap,,,Passo,Шаг,piyawara,,ขั้นตอน,Adım,قدم,Bước,
Submit,أدخل,Göndər,"জমা দাও",Absenden,Submit,enviar,ارسال,Lähetä,Soumettez,"सबमिट करें",Serahkan,Invio,Hantar,Verzenden,,,Submeter,Подтвердить,"idiripath karanna",,ส่ง,Gönder,بھیجیں,"Gửi đi",
Subscribe_For,"اشترك مقابل فقط {{price}}/{{duration}}","Sadəcə {{price}}/{{duration}} məbləğində abunə olun","নিবন্ধন শুধুমাত্র {{price}}/{{duration}}","Abonnieren für nur {{price}}/{{duration}}","Subscribe for only {{price}}/{{duration}}","Suscríbete por sólo {{price}}/{{duration}}","تنها با {{price}}/{{duration}} ثبت نام کنید.","Tilaa vain hintaan {{price}}/{{duration}}","Abonnez-vous pour {{price}}/{{duration}}","केवल {{price}}/{{duration}} के लिए सदस्यता लें","Berlangganan hanya dengan {{price}}/{{duration}}","Iscriviti per soli {{price}}/{{duration}}","Melanggan untuk hanya {{price}}/{{duration}}","Aanmelden voor slechts {{price}}/{{duration}}",,,"Subscreva por apenas {{price}}/{{duration}}","Подписаться только на {{price}}/{{duration}}",,,"สมัครสมาชิกในราคา {{price}}/{{duration}} เท่านั้น","Yalnızca {{fiyat}}/{{süre}}'e abone olun","صرف {{price}}/{{duration}} کے لئے سبسکرائب کریں","Đăng ký chỉ với {{price}}/{{duration}}",
Subscribe_To_Enjoy,"يمكنك الإشتراك لتستمتع بخدمة غير متناهية!","Limitsiz xidmət haqqı üçün abunə ola bilərsiniz","আপনি অফুরন্ত সেবা পেতে নিবন্ধন করতে পারেন!","Sie können sich abonnieren und unbegrenzten Service genießen!","You can subscribe to enjoy unlimited service!","puedes suscribirte disfrutar de un servicio ilimitado !","میتوانید برای استفاده از سرویس نامحدود ثبت نام کنید","Tilaamalla pääset nauttimaan rajattomasta palvelusta!","Vous pouvez vous abonner pour profiter d'un service illimité!","असीमित सेवा का आनंद लेने के लिए आप सब्सक्राइब कर सकते हैं!","Anda dapat berlangganan untuk menikmati layanan tidak terbatas!","Puoi iscriverti per godere del servizio illimitato!","Anda boleh melanggan untuk menikmati perkhidmatan yang tidak terhad !","Je kunt je aanmelden om onbeperkt gebruik te maken van de service!",,,"Voce pode subscrever para ter um serviço ilimitado!","Вы можете подписаться на безлимитный сервис!",,,คุณสามารถสมัครสมาชิกเพื่อสนุกกับบริการไร้ขีดจำกัดได้!,"Sınırsız hizmetin keyfini sürmek için abone olabilirsiniz!","آپ لامحدود سروس سے لطف اندوز ہونے کےلئے سبسکرائب کرسکتے ہیں","Bạn có thể đăng ký để thưởng thức dịch vụ không giới hạn!",
Subscription_Benefits,"يمكنك الإشتراك لتستمتع بخدمة غير متناهية!","Limitsiz xidmət haqqı üçün abunə ola bilərsiniz","আপনি অফুরন্ত সেবা পেতে নিবন্ধন করতে পারেন!","Sie können sich abonnieren und unbegrenzten Service genießen!","You can subscribe to enjoy unlimited service!","Puedes suscribirte y disfrutar de un servicio ilimitado !","میتوانید برای استفاده از سرویس نامحدود ثبت نام کنید","Tilaamalla pääset nauttimaan rajattomasta palvelusta!","Vous pouvez vous abonner pour profiter d'un service illimité!","असीमित सेवा का आनंद लेने के लिए आप सब्सक्राइब कर सकते हैं!","Anda dapat berlangganan untuk menikmati layanan tidak terbatas!","Puoi iscriverti per godere del servizio illimitato!","Anda boleh melanggan untuk menikmati perkhidmatan yang tidak terhad !","Je kunt je aanmelden om onbeperkt gebruik te maken van de service!",,,"Voce pode subscrever para ter um serviço ilimitado!","Вы можете подписаться на безлимитный сервис!",,,คุณสามารถสมัครสมาชิกเพื่อสนุกกับบริการไร้ขีดจำกัดได้!,"Sınırsız hizmetin keyfini sürmek için abone olabilirsiniz!","آپ لامحدود سروس سے لطف اندوز ہونے کےلئے سبسکرائب کرسکتے ہیں","Bạn có thể đăng ký để thưởng thức dịch vụ không giới hạn!",
Subscription_Message_Para_1,,,,,"Only the first chapter of every course is free to try.",,,"Vain kunkin kurssin ensimmäinen luku on kokeiltavissa ilmaiseksi.",,,"Hanya bab pertama dari setiap kursus gratis dicoba.",,,,,,,,,,"เฉพาะบทเรียนแรก ๆ ของทุก ๆ หลักสูตรเท่านั้นที่มีให้ลองเรียนได้ฟรี","Her kursun yalnızca ilk bölümünü denemek ücretsizdir.",,"Chỉ chương đầu của tất cả các khóa học là có thể được học thử miễn phí.",
Subscription_Message_Para_2,,,,,"Subscribe to Mobile Academy and get unlimited access to the largest collection of high quality courses on your mobile!",,,"Tilaa Mobile Academy, niin saat älypuhelimellesi rajattoman käyttöoikeuden suurimpaan laadukkaiden kurssien valikoimaan!",,,"Berlangganan Mobile Academy dan dapatkan akses tidak terbatas ke koleksi terbesar dari kursus bekualitas tinggi di perangkat seluler Anda!",,,,,,,,,,"สมัครเป็นสมาชิกกับ Mobile Academy แล้วรับสิทธิ์การเข้าถึงชุดรวมหลักสูตรคุณภาพสูงที่ใหญ่ที่สุดได้ไร้ขีดจำกัดผ่านทางมือถือของคุณ!","Mobile Academy'e Abone olun ve en geniş kaliteli kurs koleksiyonuna cep telefonundan sınırsız erişim kazanın!",,"Đăng ký với Học viện Di động và nhận quyền truy cập không giới hạn đến bộ sưu tập các khóa học chất lượng cao lớn nhất trên điện thoại di động của bạn!",
Subscription_Not_Found_Or_Expired,"لم يتم ايجاد الإشتراك او قد انتهت صلاحيته","Abunəlik haqqınız bitib və ya mövcud deyil","নিবন্ধন কখুজে পাওয়া যায়নি বা অতিক্রান্ত হয়েছে!","Abonnement nicht gefunden oder abgelaufen!","Subscription not found or expired!","Suscripción no encontrada o que ha caducado !","نام نویسی یاقت نشد و یا مهلت آن به اتمام رسیده است","Tilausta ei löytynyt tai se on umpeutunut!","Abonnement introuvable ou expiré!","सब्सक्रिप्शन नहीं मिली या समाप्त हो चुकी है!","Langganan tidak ditemukan atau kedaluwarsa!","Abbonamento non trovato o scaduto!","Langganan tidak dijumpai atau telah tamat!","Abonnement niet gevonden of verlopen!",,,"Subscrição não encontrada ou expirada!","Прописка не найдена или истекла!",,,"ไม่พบการสมัครสมาชิก หรือมันอาจจะหมดอายุแล้ว!","Abonelik bulunamadı ya da süresi doldu!","سبسکربشن موجودنہیں یا ختم ہوگئی ہے!","Không tìm thấy đăng ký, hoặc đăng ký đã hết hạn!",
Successful_Logout,,,,,"Logged out successfully",,,"Olet nyt kirjautunut ulos",,,"Berhasil log out",,,,,,,,,,ออกจากระบบเสร็จเรียบร้อยแล้ว,"Başarıyla çıkış yapıldı",,"Đăng xuất thành công",
Successfully_Subscribed,"لقد تم اشراكك بنجاح","Sİz uğurla abunə oldunuz","আপনি সফলভাবে নিবন্ধন করেছেন!","Sie haben sich erfolgreich registriert!","You have been successfully subscribed!","Te has suscrito con éxito !","نام نویسی شما با موفقیت انجام شد","Tilauksesi onnistui!","Vous avez été abonné avec succès!","आपने सफलतापूर्वक सब्सक्राइब कर लिया है!","Anda telah berhasil berlangganan!","Ti sei iscritto con successo!","Anda telah berjaya melanggan !","Je hebt je succesvol geabonneerd!",,,"Você subscreveu corretamente!","Вы успешно подписались!",,,คุณได้สมัครสมาชิกเสร็จเรียบร้อยแล้ว!,"Başarıyla abone oldunuz!","آپ کامیابی سے سبسکرائب ہوگئےہیں!","Bạn đã đăng ký thành công!",
Summary_Default_Title,ملخّص,Yekun,সারাংশ,Zusammenfassung,Summary,resumen,خلاصه,Yhteenveto,Résumé,सारांश,Ringkasan,Sommario,Ringkasan,Samenvatting,,,Resumo,Вывод,saaraanshaya,,สรุป,Özet,خلاصہ,"Tóm tắt",
Support_Email,,,,,support@mobileacademy.com,,,-,,,support@mobileacademy.com,,,,,,,,,,support@mobileacademy.com,destek@mobileacademy.com,,support@mobileacademy.com,
Support_You_Are_Unsubscribed,"لقد ألغيت الاشتراك بنجاح من هذه الخدمة.","Xidmətə abunəlik ləğv edildi.","তুমি সফলভাবে নিবন্ধন বাতিল করেছ","Sie haben sich erfolgreich von diesem Service abgemeldet.","You have successfully Unsubscribed from this service.","Has cancelado tu suscripción con éxito de este servicio.","با موفقیت از این سرویس لغو اشتراک کردید","Olet nyt lopettanut palvelun tilaamisen.","Votre desabonnement est effectué avec succes.","आपने सफलतापूर्वक इस सेवा से सदस्यता रद्द की है।","Anda telah berhasil Membatalkan Langganan dari layanan ini.","Ti sei cancellato con successo da questo servizio.","Anda telah berjaya menghentikan langganan perkhidmatan ini.","Je bent nu afgemeld van deze service.",,,"Você conseguiu cancelar a sua inscrição com este serviço","Вы успешно отписались от данного сервиса.","oba mema seewaawen sammaadam weemen saarthakawa iwathwuni.",,คุณได้ยกเลิกการเป็นสมาชิกจากบริการนี้เรียบร้อยแล้ว,"Bu hizmetin Aboneliğinden başarıyla Ayrıldınız.","اس سروس سے آپ کامیابی سے خارج ہو گئے ہیں","Bạn đã Hủy đăng ký dịch vụ này.",
Swipe_Go_Forward,"حرّك لتتجه للأمام","İrəli getmək üçün buraya basın","অগ্রসর হতে সুইপ করুন।","Streichen um Vorwärts zu gehen.","Swipe to go forward.","Pasa para seguir adelante.","برای ادامه لمس کنید","Pyyhkäise siirtyäksesi eteenpäin.","faites glisser pour avancer","आगे जाने के लिए स्वाइप करें।","Geser untuk maju.","Sfiora per andare avanti.","Leret untuk pergi ke seterusnya.","Swipe om verder te gaan",,,"Passe para avançar.","Проведите, чтобы продолжить.",,,วาดนิ้วมือเพื่อดำเนินการต่อไป,"İlerlemek için hareket ettirin.","آگے بڑھنے کے لئے سوائپ کریں","Vuốt để đi tiếp.",
Swipe_Left_Right,"تحرّك الى اليسار أو اليمين لتتنقّل بين البطاقات","Fləşkartları idarə etmək üçün sağa və ya sola hərəkət etdirin","ফ্লাশকার্ডগুলি দেখতে সুইপ করুন।","Streichen Sie nach links oder rechts, um zwischen den Karteikarten zu navigieren.","Swipe left or right to navigate between Flashcards.","Pasa a la izquierda o a la derecha para navegar entre las tarjetas","صفحه را به سمت راست یا چپ لمس کنید تا فلش کارت ها را عوض کنید","Pyyhkäise vasemmalle tai oikealle selataksesi muistikortteja.","Faites Glisser vers la gauche ou la droite pour naviguer entre les fiches de vocabulaire.","फ़्लैशकार्डस के बीच नेविगेट करने के लिए दाएँ या बाएँ स्वाइप करें।","Geser ke kiri atau kanan untuk mengarahkan di antara Flashcard.","Scorri verso sinistra o destra per spostarsi tra le Flashcards.","Leret ke kiri atau kekanan untuk mengemudi di antara Kad-kad Flash.","Swipe naar links of recht om te navigeren in de Flashcards.",,,"Passe para a esquerda ou direita para navegar entre as fichas de estudo.","Проведите влево или вправо для перехода между Флеш-картами.",,,วาดนิ้วมือไปทางซ้ายหรือขวาเพื่อนำทางระหว่างบัตรคำ,"Hafıza Kartları arasında arama yapmak için sola ya da sağa hareket ettirin.","فلیش کارڈز کے مابین ردوبدل کے لئے دائیں یا بائیں جانب سوائپ کریں","Vuốt trái hoặc phải để duyệt giữa các thẻ Flash.",
Tap_Again,,,,,"Tap to try again.",,,"Napauta yrittääksesi uudelleen.",,,"Ketuk untuk mencoba lagi.",,,"Klik om het opnieuw te proberen",,,,,,,แตะเพื่อลองอีกครั้ง,"Tekrar denemek için dokunun.",,"Bấm để thử lại.",
Terms_And_Conditions,"الشروط والأحكام","Şərtlər və Qaydalar",শর্তাবলী,AGB,"Terms & Conditions","Términos y condiciones","شرایط و ضوابط",Käyttöehdot,"Termes & Conditions","नियम और शर्तें","Syarat & Ketentuan","Termini e Condizioni","Terma & Syarat","Algemene voorwaarden",,,"Termos e Condições",Условия,"niyamayan haa kondeesi",,"ข้อตกลง & เงื่อนไข","Şartlar & Koşullar","شرائط و ضوابط","Điều khoản & Điều kiện",
TermsandConditions,"شروط وقوانين","Şərtlər və Qaydalar",শর্তাবলী,AGB,"Terms and Conditions","Términos y Condiciones","شرایط و ضوابط",Käyttöehdot,"Termes et Conditions","नियम और शर्तें","Syarat dan Ketentuan","Termini e Condizioni","Terma dan Syarat",Gebruiksvoorwaarden,,,"Termos e Condições",Условия,"niyamayan haa kondeesi",,ข้อตกลงและเงื่อนไข,"Şartlar ve Koşullar","شرائط و ضوابط","Điều khoản và Điều kiện",
Test_Correct_Ansswer_Was,"الجواب الصحيح","DOĞRU CAVAB:","এটা সঠিক উত্তরঃ","DIE RICHTIGE ANTWORT:","THE CORRECT ANSWER:","LA RESPUESTA CORRECTA:","پاسخ صحیح این است:","OIKEA VASTAUS:","LA BONNE RÉPONSE:","सही उत्तर:","JAWABAN YANG BENAR:","LA RISPOSTA CORRETTA È:","JAWAPAN YANG BETUL:","HET JUISTE ANTWOORD:",,,"A RESPOSTA CORRETA:","ПРАВИЛЬНЫЙ ОТВЕТ:","niwaradi pilithura:",,คำตอบที่ถูกต้อง:,"DOĞRU CEVAP:","صحیح جواب ہے:","CÂU TRẢ LỜI ĐÚNG:",
Test_Correct_Answer,"أنت رائع!","Siz möhtəşəmsiniz!","তুমি অসাধারণ!","Sie sind genial!","You are awesome!","¡Eres increíble!","کارتان فوق است","Olet loistava!","Vous êtes génial!","आप कमाल कर रहे हैं!","Anda luar biasa!",Fantastico!,"Anda Hebat!","Je bent een kanjer!",,,"Você é incrível!","Вы потрясающие!","oba wishishtayi!",,คุณเก่งมาก!,Harikasınız!,"آپ بہت اچھے ہیں!","Bạn thật tuyệt vời!",
Test_Incorrect_Answer,"اووه! هذا ليس صحيح.","Bu səhvdir!","ওহ্! এটা সঠিক নয়।","Ooops! Das ist nicht korrekt.","Ooops! That is not correct.","¡Ups! Eso no es correcto.","وای! صحیح نیست.","Hups! Nyt meni väärin.","Oups! Ce n'est pas correct.","ओह! यह सही नहीं है।","Ups! Itu salah.","Ops! Questo non è corretto.","Ooops! Itu tidak betul.","Oeps! Dat is niet juist.",,,"Oops! Esta resposta é incorreta.","Ой! Это не правильно.","apoyi! meya niwaradi nowe.",,"แย่แล้ว! มันไม่ถูก","Hop! Doğru değil.","افوہ! یہ درست نہیں ہے.","Oái! Không đúng rồi.",
Test_Last_Best_Score,"اخر أفضل نتيجة","SONUNCU ƏN YÜKSƏK NƏTİCƏ:","শেষ শ্রেষ্ঠ স্কোরঃ","LETZTES BESTES ERGEBNIS:","LAST BEST SCORE:","ÚLTIMA MEJOR PUNTUACIÓN:","بهترین امتیاز قبلی","VIIMEISIN PARAS PISTEMÄÄRÄ:","DERNIER MEILLEUR SCORE:","पिछला सर्वश्रेष्ठ स्कोर:","SKOR TERBAIK TERAKHIR:","ULTIMO MIGLIOR PUNTEGGIO:","MARKAH TERTINGGI YANG TERDAHULU:","LAATSTE BESTE SCORE:",,,"ÚLTIMA MELHOR NOTA :","ПОСЛЕДНИЙ ЛУЧШИЙ РЕЗУЛЬТАТ:","pasugiya hodama lakunu:",,คะแนนที่ดีที่สุดครั้งล่าสุด:,"EN SON ALINAN EN İYİ PUAN","آخری بہترین سکور:","ĐIỂM CAO GẦN ĐÂY NHẤT:",
Test_Next_Question,"السؤال التالي","Növbəti sual","পরের প্রশ্ন","Nächste Frage","Next Question","Siguiente pregunta","سوأل بعدی","Seuraava kysymys","Question suivante","अगला सवाल","Pertanyaan Berikutnya","Domanda Successiva","Soalan Seterusnya","Volgende vraag",,,"Próxima Pergunta","Следующий вопрос","meelaga prashnaya",,คำถามต่อไป,"Sonraki Soru","اگلا سوال","Câu hỏi tiếp theo",
Test_Summary,"ملخّص الإختبار","TESTİN NƏTİCƏSİ","পরীক্ষার সারসংক্ষেপ","TEST ZUSAMMENFASSUNG","TEST SUMMARY","RESUMEN DEL TEST","خلاصه آزمون","TESTIN YHTEENVETO","SOMMAIRE DE L'ESSAI","टेस्ट सारांश","RINGKASAN TES","INIZIO DEL TEST","UJIAN RINGKASAN",TEST-OVERZICHT,,,"RESUMO DA PROVA","РЕЗУЛЬТАТЫ ТЕСТА","pareekshana saaraanshaya",,สรุปการทดสอบ,"TEST ÖZETİ","ٹیسٹ کا خلاصہ","TÓM TẮT KIỂM TRA",
Test_Total,المجموع,CƏMİ,মোট,TOTAL,TOTAL,Total,مجموع,YHTEENSÄ,TOTAL,कुल,TOTAL,TOTALE,JUMLAH,TOTAAL,,,TOTAL,ИТОГО,ekathuwa,,ผลโดยรวม,TOPLAM,کل,TỔNG,
TestyourSelf,"اختبر نفسك","Özünüzü yoxlayın","নিজেকে পরীক্ষা করো","Testen Sie sich","Test Yourself","Prueba tú mismo","خودتان را تست کنید","Testaa itsesi",Testez-vous,"अपने आप को परखें","Uji Diri Anda","Mettiti alla prova","Menguji Diri Anda","Test jezelf",,,"Teste a si mesmo","Проверьте себя","obama wibaagaya karanna",,ทดสอบตัวคุณเอง,"Kendinizi Test edin","خُود کو آزمائیں","Kiểm tra Trình độ Bản thân",
This_Course_Is_Locked,"هذه المادة مغلقة!","Bu kurs bağlıdır!","এই কোর্সটি তালাবদ্ধ!","Dieser Kurs ist gesperrt!","This course is locked!","Este curso está cerrado!","این درس قفل است!","Tämä kurssi on lukittu!","Cette course est verrouillé!","यह कोर्स लॉक है!","Kursus ini dikunci!","Questo corso è chiuso!","Kursus ini dikunci !","Deze cursus is vergrendeld!",,,"Este curso está bloqueado!","Этот курс заблокирован!","mema paatamaalaawa agulu laa atha.",,หลักสูตรนี้ถูกล็อกไว้!,"Bu kurs kilitli!","یہ کورس بند کریا ہے!","Khóa học này đã bị khóa!",
Tip_Default_Title,معلومة,Məsləhət,পরামর্শ,Tipp,Tip,consejo,نکته,Vinkki,Astuce,सुझाव,Kiat,Suggerimento,Tip,Tip,,,Dica,Подсказка,apadesa,,เคล็ดลับ,İpucu,مشورہ,"Lời khuyên",
ToDo_Default_Title,افعل,Et,করো,Machen,Do,Hacer,"انجام دهید",Tee,Allez,करें,Kerjakan,Fare,Lakukan,Doen,,,Fazer,Сделайте,karanna,,ทำได้,Yapın,کریں,Làm,
To_Finish,,,,,"to finish",,,lopetukseen,,,"untuk menyelesaikan",,,,,,,,,,เพื่อเสร็จสิ้น,"bitirmek için",,"để hoàn tất",
Todays_Pick,"اختيارات اليوم","Bu günün seçmələri","আজকের বিষয়","Picks des tages","Today's picks","Selecciones de hoy","انتخاب روز","Päivän valitut","Les choix d'aujourd'hui","आज की पसंद","Pilihan hari ini","Scelte di Oggi","Pilihan hari ini","De keuze van vandaag",,,"Escolhas de Hoje","Сегодняшний выбор",,,รายการที่ได้รับเลือกในวันนี้,"Bugünün seçenekleri","آج کا انتخاب","Các khóa học chọn lọc của ngày hôm nay",
Track_Progress,"تتبّع تقدمك","<br> nailiyyətlərinizi izləyin","আপনার <br> অগ্রগতি দেখুন","Verfolgen Sie Ihre <br> Fortschritte","Track your<br> progress","Seguimiento de tu progreso <br>","پیشر فت خود را <br> دنبال کنید",-,"suivez vos <br> progrès","अपनी प्रोग्रेस <br> ट्रैक करें","Lacak kemajuan<br> Anda","Monitora i tuoi<br>progressi","Menjejaki kemajuan <br> anda","Hou jouw voortgang bij",,,"Registe o seu<br>progresso","Отслеживать ваши <br> успехи",,,"ติดตามความก้าวหน้า<br> ของคุณ","Gelişiminizi takip edin<br>","اگے بڑھنے سے باخبر رہیں","Theo dõi <br> tiến bộ của bạn",
Trial_Expired,"وقتك التجريبي قد انتهى","Sizin sınaq vaxtınız bitdi","আপনার বিনামূল্যের সময় শেষ হয়ে গেছে","Ihre Demozeit ist abgelaufen!","Your trial time has expired","Tu tiempo de prueba ha caducado","زمان آزمایشی شما به پایان رسیده است","Kokeiluaikasi on päättynyt","Votre temps d'essai a expiré","आपका ट्रायल पीरियड समाप्त हो गया है","Waktu uji coba Anda telah selesai","Il tempo di prova è scaduto","Masa percubaan anda telah tamat tempoh","Je testperiode is afgelopen!",,,"O seu tempo de demonstração expirou","Ваше время истекло",,,ช่วงเวลาทดลองใช้บริการของคุณหมดเวลาแล้ว,"Deneme süreniz sona erdi","آپ کا آزمائشی وقت ختم ہوچکا ہے!","Thời gian học thử của bạn đã kết thúc",
Trial_Period,"متبقي لديك <b>{{trialTimeLeft}}</b> دقيقة مجانية","Sizin <b>{{trialTimeLeft}}</b> dəqiqə pulsuz vaxtınız qalıb.","আপনার <b>{{trialTimeLeft}}</b> ফ্রি মিনিট বাকি আছে","Sie haben <b>{{trialTimeLeft}}</b> Freiminuten","You have <b>{{trialTimeLeft}}</b> free minutes left","Tienes <b>{{trialTimeLeft}}</b> minutos gratis","You have <b>{{trialTimeLeft}}</b> free minutes left","Sinulla on <b>{{trialTimeLeft}}</b> ilmaista minuuttia jäljellä","Vous avez <b>{{trialTimeLeft}}</b> minutes gratuites restantes","आपके पास <b>{{trialTimeLeft}}</b> नि:शुल्क मिनट शेष हैं","Anda punya <b>{{trialTimeLeft}}</b> menit waktu gratis tersisa","Hai <b>{{trialTimeLeft}}</b> minuti gratis alla fine","Anda mempunyai baki <b>{{trialTimeLeft}}</b> minit percuma","Je hebt nog <b>{{trialTimeLeft}}</b> gratis minuten te besteden",,,"Você têm <b>{{trialTimeLeft}}</b> minutos restantes","У вас осталось <b>{{trialTimeLeft}}</b> бесплатных минут",,,"คุณมีเวลาใช้บริการฟรีเหลืออีก <b>{{trialTimeLeft}}</b> นาที","<b>{{ÜcretsizdenemeSürenizkaldı}}</b> bedava dakikanız kaldı","آپ کے پاس <b>{{trialTimeLeft}}</b> مفت منٹ بچے ہیں","Bạn còn <b>{{trialTimeLeft}}</b> phút miễn phí",
Trial_Time_Expired,"وقتك التجريبي قد انتهى","Sizin sınaq vaxtınız bitdi","আপনার বিনামূল্যের সময় শেষ হয়ে গেছে!","Ihre Demozeit ist abgelaufen!","Your trial time has expired!","Tu tiempo de prueba ha caducado !","زمان آزمایشی شما به پایان رسیده است","Kokeiluaikasi on päättynyt!","Votre temps d'essai a expiré","आपका ट्रायल पीरियड समाप्त हो गया है!","Waktu uji coba Anda telah selesai!","Il tempo di prova è scaduto!","Masa percubaan anda telah tamat tempoh !","Je testperiode is afgelopen!",,,"O seu tempo de demonstração expirou!","Ваше время истекло!",,,ช่วงเวลาทดลองใช้บริการของคุณหมดเวลาแล้ว!,"Deneme süreniz sona erdi!","آپ کا آزمائشی وقت ختم ہوچکا ہے!","Thời gian học thử của bạn đã kết thúc!",
Trial_Time_Left,"متبقي لديك <b>{{trialTimeLeft}}</b> دقيقة","Sizin <b>{{trialTimeLeft}}</b> dəqiqə vaxtınız qalıb.","আপনার <b>{{trialTimeLeft}}</b> ফ্রি মিনিট বাকি আছে","Sie haben <b>{{trialTimeLeft}}</b> Freiminuten","You have <b>{{trialTimeLeft}}</b> minutes left","Tienes <b>{{trialTimeLeft}}</b> minutos","شما <b>{{trialTimeLeft}}</b> دقیقه باقی دارید","Sinulla on <b>{{trialTimeLeft}}</b> minuuttia jäljellä","vous avez <b>{{trialTimeLeft}}</b> minutes restantes","आपके <b>{{trialTimeLeft}}</b> मिनट शेष हैं","Anda punya <b>{{trialTimeLeft}}</b> menit tersisa","Hai <b>{{trialTimeLeft}}</b> minuti alla fine","Anda mempunyai baki <b>{{trialTimeLeft}}</b> minit","Je hebt <b>{{trialTimeLeft}}</b> minuten over",,,"Você têm <b>{{trialTimeLeft}}</b> minutos restantes","У вас осталось <b>{{trialTimeLeft}}</b> минут",,,"คุณมีเวลาใช้บริการฟรีเหลืออีก <b>{{trialTimeLeft}}</b> นาที","<b>{{ÜcretsizdenemeSürenizkaldı}}</b> bedava dakikanız kaldı","آپ کے پاس <b>{{trialTimeLeft}}</b> مفت منٹ بچے ہیں","Bạn còn <b>{{trialTimeLeft}}</b> phút",
